# resolution_mm=5
# Bone interior particle positions [mm]  (stl=Sawbone.STL, count=3416)
# x_mm,y_mm,z_mm
40.158903,85.119064,40.076294
40.158787,85.119205,45.076269
40.158747,85.119142,50.076246
40.158875,90.119179,30.076186
40.158850,90.119046,35.076276
40.158842,90.119143,40.076276
40.158821,90.119060,45.076223
40.158810,90.119035,50.076362
40.158904,95.119112,30.076340
40.158880,95.119121,35.076179
40.158873,95.119157,40.076183
40.158855,95.119145,45.076333
40.158800,95.119095,50.076251
40.158719,100.119041,30.076291
40.158851,100.119038,35.076206
40.158821,100.119033,40.076332
40.158915,100.119032,45.076227
40.158916,105.119081,30.076251
40.158908,105.119131,35.076256
40.158891,105.119150,40.076205
40.158782,105.119027,45.076200
40.158908,110.119135,30.076310
40.158874,110.119186,35.076268
40.158726,110.119021,40.076264
40.158867,110.119088,45.076227
40.158808,115.119062,30.076221
40.158842,115.119122,35.076218
40.158838,115.119113,40.076269
40.158909,115.119140,45.076197
40.158754,120.119044,30.076329
40.158767,120.119028,35.076222
40.158765,120.119043,40.076280
40.158873,120.119108,45.076328
40.158857,125.119135,30.076354
40.158731,125.119158,35.076286
40.158891,125.119042,40.076221
40.158763,125.119092,45.076263
40.158732,130.119050,30.076313
40.158916,130.119073,35.076237
40.158807,130.119029,40.076337
40.158878,130.119028,45.076296
40.158877,135.119151,30.076191
40.158721,135.119198,35.076335
40.158806,135.119058,40.076269
40.158846,135.119108,45.076192
40.158904,140.119098,35.076237
40.158878,140.119051,40.076226
40.158914,140.119120,45.076210
40.158878,145.119157,35.076285
40.158761,145.119109,40.076327
40.158816,150.119078,35.076228
40.158917,150.119176,40.076360
40.158917,155.119033,35.076367
40.158820,155.119168,40.076195
40.158909,415.119010,20.076299
40.158758,415.119057,25.076246
40.158895,415.119078,30.076186
40.158743,415.119092,35.076317
40.158910,420.119123,15.076174
40.158824,420.119182,20.076247
40.158776,420.119127,25.076281
40.158873,420.119094,30.076336
40.158855,420.119032,35.076196
40.158843,420.119062,40.076309
40.158736,420.119079,45.076174
40.158803,425.119044,10.076310
40.158866,425.119043,15.076214
40.158870,425.119182,20.076341
40.158822,425.119159,25.076344
40.158827,425.119135,30.076356
40.158814,425.119071,35.076259
40.158721,425.119033,40.076344
40.158909,425.119095,45.076299
40.158762,430.119177,10.076354
40.158865,430.119094,15.076252
40.158768,430.119194,20.076225
40.158908,430.119029,25.076301
40.158836,430.119161,30.076334
40.158793,430.119194,35.076233
40.158728,430.119203,40.076181
40.158756,430.119185,45.076351
40.158894,430.119178,50.076254
40.158791,435.119142,10.076259
40.158833,435.119024,15.076272
40.158858,435.119036,20.076245
40.158813,435.119131,25.076249
40.158824,435.119069,30.076311
40.158845,435.119130,35.076202
40.158759,435.119018,40.076324
40.158915,435.119181,45.076341
40.158833,435.119172,50.076271
40.158784,440.119024,15.076209
40.158764,440.119125,20.076234
40.158756,440.119100,25.076208
40.158722,440.119141,30.076170
40.158918,440.119129,35.076213
40.158898,440.119055,40.076275
40.158736,440.119163,45.076301
40.158725,445.119092,15.076201
40.158895,445.119125,20.076320
40.158739,445.119090,25.076263
40.158781,445.119148,30.076312
40.158822,445.119158,35.076220
40.158826,445.119133,40.076227
40.158811,445.119144,45.076330
40.158810,450.119172,20.076206
40.158887,450.119052,25.076306
40.158740,450.119026,30.076212
